date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate
2018-04-06,1.3699999999999974,-0.0151814999999999,0.6500000000000057,0.0605000000000046,2.549999999999997,1.1261999999999972,12.200000000000728,3306.0,-24.72161290323129,65.0,-0.06,0.1799999999999999
2018-04-09,2.0800000000000054,-0.0151814999999999,0.6500000000000057,-0.257000000000005,0.2800000000000011,1.1261999999999972,12.200000000000728,3306.0,-24.72161290323129,65.0,0.0099999999999997,0.1799999999999999
2018-04-10,1.3299999999999983,-0.0151814999999999,0.6500000000000057,-0.165700000000001,-1.3000000000000007,1.1261999999999972,12.200000000000728,3306.0,-24.72161290323129,65.0,0.02,0.1799999999999999
2018-04-11,0.2599999999999909,-0.0151814999999999,0.6500000000000057,-0.2434999999999973,-0.2300000000000004,1.1261999999999972,12.200000000000728,3306.0,-24.72161290323129,65.0,-0.0099999999999997,0.1799999999999999
2018-04-12,0.2800000000000011,-0.0151814999999999,0.6500000000000057,0.1680999999999954,-1.75,1.1261999999999972,12.200000000000728,3306.0,-24.72161290323129,65.0,0.04,0.1799999999999999
2018-04-13,-1.1199999999999903,-0.0151814999999999,0.6500000000000057,-0.053699999999992,-1.0799999999999983,1.1261999999999972,12.200000000000728,-1071.0,-24.72161290323129,15.0,-0.0100000000000002,0.1799999999999999
2018-04-16,0.269999999999996,-0.0151814999999999,0.6500000000000057,-0.1773000000000024,-0.8500000000000014,1.1261999999999972,12.200000000000728,-1071.0,-24.72161290323129,15.0,0.0100000000000002,0.1799999999999999
2018-04-17,1.9399999999999975,-0.0151814999999999,0.6500000000000057,-0.0250999999999947,-1.3099999999999987,1.1261999999999972,12.200000000000728,-1071.0,-24.72161290323129,15.0,-0.0100000000000002,0.1799999999999999
2018-04-18,-0.1400000000000005,-0.0151814999999999,0.6500000000000057,0.0751999999999952,0.3499999999999996,1.1261999999999972,12.200000000000728,-1071.0,-24.72161290323129,15.0,0.0500000000000002,0.1799999999999999
2018-04-19,-0.039999999999992,-0.0151814999999999,0.6500000000000057,0.4100999999999999,0.3600000000000012,1.1261999999999972,12.200000000000728,-1071.0,-24.72161290323129,15.0,0.0499999999999998,0.1799999999999999
2018-04-20,-0.6500000000000057,-0.0151814999999999,0.6500000000000057,0.659000000000006,0.9199999999999982,1.1261999999999972,12.200000000000728,2170.0,-24.72161290323129,46.0,0.04,0.1799999999999999
2018-04-23,0.0499999999999971,-0.0151814999999999,0.6500000000000057,0.7544999999999931,-0.5399999999999991,1.1261999999999972,12.200000000000728,2170.0,-24.72161290323129,46.0,0.02,0.1799999999999999
2018-04-24,0.3400000000000034,-0.0151814999999999,0.6500000000000057,-0.1426000000000016,1.6799999999999995,1.1261999999999972,12.200000000000728,2170.0,-24.72161290323129,46.0,0.02,0.1799999999999999
2018-04-25,0.1800000000000068,-0.0151814999999999,0.6500000000000057,0.5541000000000054,-0.1799999999999997,1.1261999999999972,12.200000000000728,2170.0,-24.72161290323129,46.0,0.0299999999999998,0.1799999999999999
2018-04-26,-0.0700000000000073,-0.0151814999999999,0.6500000000000057,0.0198999999999927,-1.6000000000000014,1.1261999999999972,12.200000000000728,2170.0,-24.72161290323129,46.0,-0.0299999999999998,0.1799999999999999
2018-04-27,0.4500000000000028,-0.0151814999999999,0.6500000000000057,-0.1910999999999916,-0.8299999999999983,1.1261999999999972,12.200000000000728,6218.0,-24.72161290323129,33.0,-0.04,0.1799999999999999
2018-04-30,-1.2800000000000011,-0.0151814999999999,0.6500000000000057,0.16279999999999,0.5199999999999996,1.1261999999999972,12.200000000000728,6218.0,-24.72161290323129,33.0,-0.0099999999999997,0.1799999999999999
2018-05-01,0.6299999999999955,0.20173747,0.5649999999999977,0.4082000000000079,-0.4399999999999995,-0.930499999999995,41.79999999999927,6218.0,-123.53645161290478,33.0,0.02,0.01
2018-05-02,0.5400000000000063,0.20173747,0.5649999999999977,0.4179999999999921,0.4800000000000004,-0.930499999999995,41.79999999999927,6218.0,-123.53645161290478,33.0,0.0,0.01
2018-05-03,1.259999999999991,0.20173747,0.5649999999999977,0.0178000000000082,-0.0700000000000002,-0.930499999999995,41.79999999999927,6218.0,-123.53645161290478,33.0,-0.0300000000000002,0.01
2018-05-04,1.0300000000000011,0.20173747,0.5649999999999977,0.0696999999999974,-1.1300000000000008,-0.930499999999995,41.79999999999927,-2197.0,-123.53645161290478,84.0,0.0100000000000002,0.01
2018-05-07,-1.9099999999999968,0.20173747,0.5649999999999977,0.322100000000006,-0.0199999999999995,-0.930499999999995,41.79999999999927,-2197.0,-123.53645161290478,84.0,0.0,0.01
2018-05-08,2.3299999999999983,0.20173747,0.5649999999999977,0.4908999999999963,-0.0399999999999991,-0.930499999999995,41.79999999999927,-2197.0,-123.53645161290478,84.0,0.02,0.01
2018-05-09,0.2000000000000028,0.20173747,0.5649999999999977,-0.181200000000004,-1.290000000000001,-0.930499999999995,41.79999999999927,-2197.0,-123.53645161290478,84.0,0.0299999999999998,0.01
2018-05-10,-0.6700000000000017,0.20173747,0.5649999999999977,-0.4767999999999972,-0.1899999999999995,-0.930499999999995,41.79999999999927,-2197.0,-123.53645161290478,84.0,-0.0299999999999998,0.01
2018-05-11,0.3200000000000074,0.20173747,0.5649999999999977,-0.1203000000000003,-0.5800000000000001,-0.930499999999995,41.79999999999927,-1404.0,-123.53645161290478,20.0,0.0,0.01
2018-05-14,0.3299999999999983,0.20173747,0.5649999999999977,0.1233000000000004,0.2799999999999993,-0.930499999999995,41.79999999999927,-1404.0,-123.53645161290478,20.0,0.0299999999999998,0.01
2018-05-15,0.0900000000000034,0.20173747,0.5649999999999977,0.8212000000000046,1.700000000000001,-0.930499999999995,41.79999999999927,-1404.0,-123.53645161290478,20.0,0.08,0.01
2018-05-16,0.039999999999992,0.20173747,0.5649999999999977,0.0775999999999896,-1.2100000000000009,-0.930499999999995,41.79999999999927,-1404.0,-123.53645161290478,20.0,0.0099999999999997,0.01
2018-05-17,-0.2399999999999948,0.20173747,0.5649999999999977,0.0478999999999985,0.0099999999999997,-0.930499999999995,41.79999999999927,-1404.0,-123.53645161290478,20.0,0.02,0.01
2018-05-18,1.0300000000000011,0.20173747,0.5649999999999977,0.362400000000008,-0.0099999999999997,-0.930499999999995,41.79999999999927,5778.0,-123.53645161290478,2.0,-0.0499999999999998,0.01
2018-05-21,-0.1700000000000017,0.20173747,0.5649999999999977,-0.0777000000000072,-0.3399999999999998,-0.930499999999995,41.79999999999927,5778.0,-123.53645161290478,2.0,0.0,0.01
