date,oil_diff_target,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2021-05-10,0.3900000000000005,-0.039999999999992,-0.08109936,1.7690000000000057,-0.2344000000000079,2.969999999999999,0.8746000000000009,-24.600000000000364,-426.0,488.71331612903305,100.0,0.0299999999999998,-0.01,0.2299999999999897,0.9599999999999936,0.7774766877532032,1.0036192400245565,65.192,63.431,1.0277624505368037,1,0.4600000000000133,5.219999999999999,0,0,1,0
2021-05-11,0.6499999999999915,0.3900000000000005,-0.08109936,1.7690000000000057,0.1016000000000048,2.1799999999999997,0.8746000000000009,-24.600000000000364,-426.0,488.71331612903305,100.0,0.01,-0.01,-0.039999999999992,1.2600000000000051,0.4977650047961278,1.0025413759673043,65.11,63.6865,1.0223516757868625,1,-0.4099999999999912,5.109999999999999,0,0,0,0
2021-05-12,-2.1399999999999935,0.6499999999999915,-0.08109936,1.7690000000000057,0.6714999999999947,5.75,0.8746000000000009,-24.600000000000364,-426.0,488.71331612903305,100.0,0.05,-0.01,0.3900000000000005,-0.0900000000000034,0.595256247342005,0.7856440535939094,65.176,63.827,1.0211352562395226,1,0.3300000000000036,2.809999999999995,0,0,0,0
2021-05-13,1.499999999999993,-2.1399999999999935,-0.08109936,1.7690000000000057,0.0319000000000073,-4.460000000000001,0.8746000000000009,-24.600000000000364,-426.0,488.71331612903305,100.0,-0.03,-0.01,0.6499999999999915,-0.8999999999999915,1.122840148907975,0.935301808874713,64.994,63.847,1.0179648221529594,1,-0.9099999999999984,0.3999999999999986,0,0,0,0
2021-05-14,0.9200000000000016,1.499999999999993,-0.08109936,1.7690000000000057,-0.4602000000000004,-4.32,0.8746000000000009,-24.600000000000364,1320.0,488.71331612903305,0.0,-0.03,-0.01,-2.1399999999999935,0.2299999999999897,1.3582967275229956,0.9888355725163728,65.066,63.955000000000005,1.017371589398796,1,0.3600000000000047,2.1599999999999966,0,0,0,1
2021-05-17,-0.75,0.9200000000000016,-0.08109936,1.7690000000000057,-0.0563000000000073,0.91,0.8746000000000009,-24.600000000000364,1320.0,488.71331612903305,0.0,0.01,-0.01,1.499999999999993,-0.039999999999992,1.4055354851442496,1.005393219748317,65.33,64.1005,1.0191808176223274,1,1.3199999999999985,2.9099999999999966,0,0,1,0
2021-05-18,-2.2099999999999937,-0.75,-0.08109936,1.7690000000000057,-0.2472999999999956,1.620000000000001,0.8746000000000009,-24.600000000000364,1320.0,488.71331612903305,0.0,0.0,-0.01,0.9200000000000016,0.3900000000000005,1.4709282783329989,1.0067738992497892,65.366,64.2445,1.0174567472701943,1,0.1799999999999979,2.8799999999999955,0,0,0,0
2021-05-19,-1.3299999999999983,-2.2099999999999937,-0.08109936,1.7690000000000057,0.0490000000000065,0.8399999999999999,0.8746000000000009,-24.600000000000364,1320.0,488.71331612903305,0.0,0.04,-0.01,-0.75,0.6499999999999915,1.7092483728234693,1.0943880770357437,64.83,64.3415,1.0075923004592682,1,-2.6799999999999873,1.9399999999999975,0,0,0,0
2021-05-20,1.6599999999999966,-1.3299999999999983,-0.08109936,1.7690000000000057,-0.0202000000000026,-1.509999999999998,0.8746000000000009,-24.600000000000364,1320.0,488.71331612903305,0.0,-0.05,-0.01,-2.2099999999999937,-2.1399999999999935,1.5502032124852798,1.139909968744112,64.456,64.3665,1.0013904748588165,1,-1.869999999999992,0.5,0,0,0,0
2021-05-21,2.519999999999996,1.6599999999999966,-0.08109936,1.7690000000000057,0.1970999999999918,-0.5200000000000031,0.8746000000000009,-24.600000000000364,-1662.0,488.71331612903305,0.0,0.0,-0.01,-1.3299999999999983,1.499999999999993,1.599428022763039,1.188131106534917,64.114,64.438,0.994971910984202,0,-1.7099999999999884,1.4299999999999995,0,0,0,1
