date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2012-10-25,0.25,-0.09317224,231.638,91.02,18.12,97.7193,11702.3,348348.0,34332.6038577,6610.0,1.55,1.86,0.16,-1.2600000000000051,-0.0400000000000062,0.8692640565443905,1.6305165471488794,87.186,90.362,0.964852482238109,0,-6.409999999999997,-6.299999999999997,0,0,0,0
2012-10-26,-0.3200000000000074,-0.09317224,231.638,91.1411,17.81,97.7193,11702.3,346303.0,34332.6038577,6669.0,1.48,1.78,0.16,0.2000000000000028,-2.0,0.9799846937580234,1.6297597498113796,86.354,90.045,0.9590093841967904,0,-4.159999999999997,-6.340000000000003,0,0,0,1
2012-10-29,0.1300000000000096,-0.09317224,231.638,91.1411,17.81,97.7193,11702.3,346303.0,34332.6038577,6669.0,1.44,1.74,0.16,0.25,-1.7000000000000028,0.8615857473287283,1.624102667224027,85.798,89.699,0.9565101060212488,0,-2.780000000000001,-6.920000000000002,0,0,1,0
2012-10-30,0.5799999999999983,-0.09317224,231.638,91.1411,17.81,97.7193,11702.3,346303.0,34332.6038577,6669.0,1.44,1.74,0.16,-0.3200000000000074,-1.6499999999999917,0.6343106494455298,1.626644188441179,85.598,89.3875,0.9576059292406656,0,-1.0,-6.22999999999999,0,0,0,0
2012-10-31,0.8199999999999932,-0.09317224,231.638,91.1609,18.6,97.7193,11702.3,346303.0,34332.6038577,6669.0,1.42,1.72,0.16,0.1300000000000096,-1.2600000000000051,0.3229086558146197,1.4279598991863178,85.766,89.2895,0.9605384731687376,0,0.8400000000000034,-1.9599999999999935,0,0,0,0
2012-11-01,-2.1499999999999915,-0.00573705,231.249,91.1217,16.69,98.0777,11753.4,346303.0,34301.6038577,6669.0,1.45,1.75,0.16,0.5799999999999983,0.2000000000000028,0.4371155453652984,1.1760844939212889,86.05799999999999,89.0575,0.9663195126743956,0,1.4599999999999935,-4.640000000000001,0,0,0,0
2012-11-02,0.7399999999999949,-0.00573705,231.249,91.281,17.59,98.0777,11753.4,347850.0,34301.6038577,6677.0,1.47,1.75,0.16,0.8199999999999932,0.25,1.1804533027612716,1.201574734298808,85.87,88.809,0.9669065072233672,0,-0.9399999999999976,-4.969999999999999,0,0,0,1
2012-11-05,2.980000000000004,-0.00573705,231.249,91.4778,18.42,98.0777,11753.4,347850.0,34301.6038577,6677.0,1.44,1.72,0.16,-2.1499999999999915,-0.3200000000000074,1.2442789076408831,1.2204980648554,85.894,88.6195,0.9692449178792478,0,0.1200000000000045,-3.7900000000000063,0,0,1,0
2012-11-06,-4.1200000000000045,-0.00573705,231.249,91.2908,17.58,98.0777,11753.4,347850.0,34301.6038577,6677.0,1.48,1.78,0.16,0.7399999999999949,0.1300000000000096,1.8231236930060437,1.219128247646865,86.488,88.42949999999999,0.9780446570431814,0,2.969999999999999,-3.799999999999997,0,0,0,0
2012-11-07,0.5699999999999932,-0.00573705,231.249,91.4514,19.08,98.0777,11753.4,347850.0,34301.6038577,6677.0,1.41,1.68,0.16,2.980000000000004,0.5799999999999983,2.7883113169084988,1.4915872859403632,86.142,88.0925,0.9778585010074636,0,-1.730000000000004,-6.739999999999995,0,0,0,0
